
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-20 18:00:00.000 232         4.00
2013-08-20 19:00:00.000 232         9.00
2013-08-20 20:00:00.000 232        10.00
2013-08-20 21:00:00.000 232        12.00
2013-08-20 22:00:00.000 232        19.00
2013-08-20 23:00:00.000 232        28.00
2013-08-21 00:00:00.000 233        20.00
2013-08-21 01:00:00.000 233        21.00
2013-08-21 02:00:00.000 233        20.00
2013-08-21 03:00:00.000 233         3.00
2013-08-21 04:00:00.000 233       -15.00
2013-08-21 05:00:00.000 233       -26.00
2013-08-21 06:00:00.000 233       -24.00
2013-08-21 07:00:00.000 233       -15.00
2013-08-21 08:00:00.000 233       -13.00
2013-08-21 09:00:00.000 233       -15.00
2013-08-21 10:00:00.000 233       -14.00
2013-08-21 11:00:00.000 233       -18.00
2013-08-21 12:00:00.000 233       -21.00
2013-08-21 13:00:00.000 233       -21.00
2013-08-21 14:00:00.000 233       -15.00
2013-08-21 15:00:00.000 233       -11.00
2013-08-21 16:00:00.000 233        -6.00
2013-08-21 17:00:00.000 233         3.00
2013-08-21 18:00:00.000 233         4.00
2013-08-21 19:00:00.000 233       -13.00
2013-08-21 20:00:00.000 233       -12.00
2013-08-21 21:00:00.000 233       -23.00
2013-08-21 22:00:00.000 233       -22.00
2013-08-21 23:00:00.000 233       -16.00
2013-08-22 00:00:00.000 234       -15.00
2013-08-22 01:00:00.000 234       -14.00
2013-08-22 02:00:00.000 234       -19.00
2013-08-22 03:00:00.000 234       -16.00
2013-08-22 04:00:00.000 234       -10.00
2013-08-22 05:00:00.000 234       -10.00
2013-08-22 06:00:00.000 234       -15.00
2013-08-22 07:00:00.000 234       -18.00
2013-08-22 08:00:00.000 234       -14.00
2013-08-22 09:00:00.000 234       -14.00
2013-08-22 10:00:00.000 234       -17.00
2013-08-22 11:00:00.000 234       -16.00
2013-08-22 12:00:00.000 234       -20.00
2013-08-22 13:00:00.000 234       -18.00
2013-08-22 14:00:00.000 234       -18.00
2013-08-22 15:00:00.000 234       -18.00
2013-08-22 16:00:00.000 234       -19.00
2013-08-22 17:00:00.000 234       -18.00
2013-08-22 18:00:00.000 234       -18.00
2013-08-22 19:00:00.000 234       -10.00
2013-08-22 20:00:00.000 234       -11.00
2013-08-22 21:00:00.000 234       -16.00
2013-08-22 22:00:00.000 234       -21.00
2013-08-22 23:00:00.000 234       -29.00
2013-08-23 00:00:00.000 235       -34.00
2013-08-23 01:00:00.000 235       -38.00
2013-08-23 02:00:00.000 235       -40.00
2013-08-23 03:00:00.000 235       -31.00
2013-08-23 04:00:00.000 235       -26.00
2013-08-23 05:00:00.000 235       -26.00
2013-08-23 06:00:00.000 235       -26.00
2013-08-23 07:00:00.000 235       -23.00
2013-08-23 08:00:00.000 235       -22.00
2013-08-23 09:00:00.000 235       -27.00
2013-08-23 10:00:00.000 235       -34.00
2013-08-23 11:00:00.000 235       -32.00
2013-08-23 12:00:00.000 235       -23.00
2013-08-23 13:00:00.000 235       -23.00
2013-08-23 14:00:00.000 235       -26.00
2013-08-23 15:00:00.000 235       -28.00
2013-08-23 16:00:00.000 235       -26.00
2013-08-23 17:00:00.000 235       -26.00
2013-08-23 18:00:00.000 235       -24.00
2013-08-23 19:00:00.000 235       -22.00
2013-08-23 20:00:00.000 235       -20.00
2013-08-23 21:00:00.000 235       -21.00
